date,1,2,3,4,5,6
01-01-2015,0,11,2,0,0,1
01-02-2015,0,17,1,2,0,1
01-03-2015,0,15,1,2,0,2
01-04-2015,1,12,1,0,0,2
01-05-2015,1,12,1,0,0,1
01-06-2015,0,9,2,1,0,2
01-07-2015,1,10,2,1,0,1
01-08-2015,0,7,1,1,0,1
01-09-2015,0,12,2,0,0,1
01-10-2015,0,15,1,1,0,1
01-11-2015,1,11,1,3,1,1
01-12-2015,0,9,1,0,0,1
01-13-2015,0,8,2,3,0,1
01-14-2015,0,10,1,3,0,1
01-15-2015,1,10,0,2,0,1
01-16-2015,1,9,2,0,0,1
01-17-2015,0,16,0,1,0,1
01-18-2015,0,16,0,0,0,1
01-19-2015,0,9,1,3,0,2
01-20-2015,0,13,1,0,0,2
01-21-2015,1,9,1,2,1,2
01-22-2015,1,11,1,1,0,2
01-23-2015,0,9,0,1,1,1
01-24-2015,0,7,0,1,0,2
01-25-2015,1,16,2,0,0,2
01-26-2015,1,9,1,2,0,0
01-27-2015,1,12,1,2,0,2
01-28-2015,0,8,1,2,0,2
01-29-2015,1,11,0,3,0,2
01-30-2015,0,12,1,2,0,1
01-31-2015,1,14,1,1,0,1
02-01-2015,0,15,2,1,0,1
02-02-2015,0,11,0,3,0,2
02-03-2015,2,11,1,3,0,1
02-04-2015,1,13,2,3,0,1
02-05-2015,0,10,2,1,1,1
02-06-2015,0,10,1,1,0,1
02-07-2015,1,11,3,1,1,2
02-08-2015,1,10,1,2,0,1
02-09-2015,1,13,1,4,1,0
02-10-2015,1,10,0,2,0,1
02-11-2015,0,10,1,1,0,1
02-12-2015,0,15,1,0,0,1
02-13-2015,0,9,1,0,2,1
02-14-2015,0,9,1,0,2,1
02-15-2015,0,12,1,1,0,1
02-16-2015,0,10,0,4,0,1
02-17-2015,0,7,1,1,1,1
02-18-2015,1,6,0,1,0,1
02-19-2015,0,7,0,4,0,2
02-20-2015,0,11,1,1,0,2
02-21-2015,0,11,0,1,0,2
02-22-2015,1,13,0,1,0,3
02-23-2015,0,12,0,3,0,2
02-24-2015,0,13,0,2,0,1
02-25-2015,1,10,0,1,0,0
02-26-2015,1,14,0,1,0,1
02-27-2015,0,12,0,2,0,1
02-28-2015,2,14,0,1,0,1
03-01-2015,1,11,1,2,0,2
03-02-2015,0,12,1,3,2,1
03-03-2015,0,12,1,2,0,1
03-04-2015,1,10,1,1,0,2
03-05-2015,0,9,0,1,1,0
03-06-2015,0,10,1,1,0,1
03-07-2015,2,11,1,1,1,1
03-08-2015,1,15,0,0,0,1
03-09-2015,0,11,1,0,0,1
03-10-2015,2,11,0,4,0,0
03-11-2015,1,8,0,0,0,0
03-12-2015,0,9,1,1,0,2
03-13-2015,1,13,1,0,1,1
03-14-2015,0,13,1,5,1,1
03-15-2015,0,16,1,1,0,2
03-16-2015,0,12,1,2,1,1
03-17-2015,0,12,0,0,0,0
03-18-2015,0,10,2,1,0,1
03-19-2015,1,14,1,1,0,0
03-20-2015,0,14,1,0,0,1
03-21-2015,0,10,2,0,0,1
03-22-2015,0,13,2,2,0,1
03-23-2015,0,8,1,0,0,1
03-24-2015,2,13,0,0,2,0
03-25-2015,1,11,0,2,2,1
03-26-2015,0,11,0,1,0,0
03-27-2015,0,11,1,1,3,2
03-28-2015,1,11,2,3,0,1
03-29-2015,1,15,1,0,0,0
03-30-2015,0,9,1,2,0,0
03-31-2015,0,11,1,1,0,0
04-01-2015,0,11,1,1,1,1
04-02-2015,0,9,1,1,0,1
04-03-2015,0,15,0,1,0,1
04-04-2015,0,15,0,4,0,1
04-05-2015,1,18,2,2,0,1
04-06-2015,1,13,1,3,0,1
04-07-2015,3,11,0,2,0,0
04-08-2015,1,10,1,1,0,1
04-09-2015,1,15,2,2,1,2
04-10-2015,0,10,2,2,0,2
04-11-2015,1,12,2,1,0,1
04-12-2015,0,12,1,1,1,2
04-13-2015,0,12,1,4,0,0
04-14-2015,1,11,0,1,1,0
04-15-2015,0,8,1,1,0,1
04-16-2015,0,13,0,0,0,0
04-17-2015,0,13,1,1,1,1
04-18-2015,1,13,1,1,0,2
04-19-2015,1,14,2,0,0,1
04-20-2015,0,8,1,2,0,1
04-21-2015,1,7,0,0,0,1
04-22-2015,2,11,2,2,0,1
04-23-2015,0,9,1,2,0,2
04-24-2015,0,12,1,2,0,1
04-25-2015,0,15,1,0,0,2
04-26-2015,1,13,0,1,0,0
04-27-2015,0,14,0,1,0,1
04-28-2015,1,10,1,5,0,1
04-29-2015,1,11,1,3,0,2
04-30-2015,1,16,2,2,0,0
05-01-2015,1,14,2,3,0,2
05-02-2015,1,13,1,1,0,1
05-03-2015,0,15,2,2,0,1
05-04-2015,0,9,2,2,1,0
05-05-2015,1,12,1,1,0,1
05-06-2015,0,15,1,2,1,0
05-07-2015,0,12,1,2,0,1
05-08-2015,0,13,1,1,0,0
05-09-2015,1,14,2,3,0,1
05-10-2015,0,14,0,2,0,2
05-11-2015,0,9,1,4,0,1
05-12-2015,0,11,1,1,0,1
05-13-2015,0,11,1,0,0,0
05-14-2015,0,7,1,2,0,1
05-15-2015,1,9,1,0,0,1
05-16-2015,1,13,2,3,0,1
05-17-2015,1,15,2,2,0,0
05-18-2015,2,12,0,1,0,1
05-19-2015,0,12,1,0,0,0
05-20-2015,0,9,3,1,0,1
05-21-2015,0,17,3,2,0,1
05-22-2015,0,10,1,0,0,0
05-23-2015,0,12,1,3,0,1
05-24-2015,0,11,1,0,0,0
05-25-2015,0,11,3,2,1,1
05-26-2015,0,11,2,2,0,0
05-27-2015,0,8,2,1,1,1
05-28-2015,1,15,1,1,0,2
05-29-2015,0,12,1,0,0,2
05-30-2015,0,11,1,1,0,2
05-31-2015,0,14,3,2,0,2
06-01-2015,0,16,1,0,0,0
06-02-2015,0,7,3,0,1,1
06-03-2015,0,7,3,4,1,1
06-04-2015,0,11,3,1,1,2
06-05-2015,0,12,1,2,1,1
06-06-2015,0,12,3,1,0,2
06-07-2015,1,15,2,1,0,1
06-08-2015,5,12,3,2,0,1
06-09-2015,1,8,1,0,0,1
06-10-2015,0,11,3,0,1,1
06-11-2015,0,15,3,2,0,1
06-12-2015,1,12,2,3,0,1
06-13-2015,0,17,2,3,0,1
06-14-2015,1,14,3,3,0,0
06-15-2015,0,16,2,2,0,0
06-16-2015,1,17,0,5,0,0
06-17-2015,0,9,1,1,1,1
06-18-2015,0,8,1,0,1,1
06-19-2015,0,12,1,1,0,1
06-20-2015,1,13,1,2,0,1
06-21-2015,0,15,1,1,0,1
06-22-2015,2,14,2,3,0,2
06-23-2015,0,7,1,2,0,1
06-24-2015,1,11,1,0,0,0
06-25-2015,1,14,1,3,0,0
06-26-2015,0,13,2,3,1,2
06-27-2015,0,16,2,2,0,2
06-28-2015,1,14,1,2,0,1
06-29-2015,1,12,2,2,0,1
06-30-2015,0,12,1,2,0,2
07-01-2015,1,13,1,2,1,3
07-02-2015,0,11,2,5,0,1
07-03-2015,0,11,2,1,0,2
07-04-2015,2,14,1,0,0,3
07-05-2015,0,12,1,0,0,1
07-06-2015,0,12,1,0,0,4
