date,1,2,3,4,5,6
01-01-2015,0,11,2,0,0,1
01-02-2015,0,28,3,2,0,2
01-03-2015,0,43,4,4,0,4
01-04-2015,1,55,5,4,0,6
01-05-2015,2,67,6,4,0,7
01-06-2015,2,76,8,5,0,9
01-07-2015,3,86,10,6,0,10
01-08-2015,3,93,11,7,0,11
01-09-2015,3,105,13,7,0,12
01-10-2015,3,120,14,8,0,13
01-11-2015,4,131,15,11,1,14
01-12-2015,4,140,16,11,1,15
01-13-2015,4,148,18,14,1,16
01-14-2015,4,158,19,17,1,17
01-15-2015,5,168,19,19,1,18
01-16-2015,6,177,21,19,1,19
01-17-2015,6,193,21,20,1,20
01-18-2015,6,209,21,20,1,21
01-19-2015,6,218,22,23,1,23
01-20-2015,6,231,23,23,1,25
01-21-2015,7,240,24,25,2,27
01-22-2015,8,251,25,26,2,29
01-23-2015,8,260,25,27,3,30
01-24-2015,8,267,25,28,3,32
01-25-2015,9,283,27,28,3,34
01-26-2015,10,292,28,30,3,34
01-27-2015,11,304,29,32,3,36
01-28-2015,11,312,30,34,3,38
01-29-2015,12,323,30,37,3,40
01-30-2015,12,335,31,39,3,41
01-31-2015,13,349,32,40,3,42
02-01-2015,13,364,34,41,3,43
02-02-2015,13,375,34,44,3,45
02-03-2015,15,386,35,47,3,46
02-04-2015,16,399,37,50,3,47
02-05-2015,16,409,39,51,4,48
02-06-2015,16,419,40,52,4,49
02-07-2015,17,430,43,53,5,51
02-08-2015,18,440,44,55,5,52
02-09-2015,19,453,45,59,6,52
02-10-2015,20,463,45,61,6,53
02-11-2015,20,473,46,62,6,54
02-12-2015,20,488,47,62,6,55
02-13-2015,20,497,48,62,8,56
02-14-2015,20,506,49,62,10,57
02-15-2015,20,518,50,63,10,58
02-16-2015,20,528,50,67,10,59
02-17-2015,20,535,51,68,11,60
02-18-2015,21,541,51,69,11,61
02-19-2015,21,548,51,73,11,63
02-20-2015,21,559,52,74,11,65
02-21-2015,21,570,52,75,11,67
02-22-2015,22,583,52,76,11,70
02-23-2015,22,595,52,79,11,72
02-24-2015,22,608,52,81,11,73
02-25-2015,23,618,52,82,11,73
02-26-2015,24,632,52,83,11,74
02-27-2015,24,644,52,85,11,75
02-28-2015,26,658,52,86,11,76
03-01-2015,27,669,53,88,11,78
03-02-2015,27,681,54,91,13,79
03-03-2015,27,693,55,93,13,80
03-04-2015,28,703,56,94,13,82
03-05-2015,28,712,56,95,14,82
03-06-2015,28,722,57,96,14,83
03-07-2015,30,733,58,97,15,84
03-08-2015,31,748,58,97,15,85
03-09-2015,31,759,59,97,15,86
03-10-2015,33,770,59,101,15,86
03-11-2015,34,778,59,101,15,86
03-12-2015,34,787,60,102,15,88
03-13-2015,35,800,61,102,16,89
03-14-2015,35,813,62,107,17,90
03-15-2015,35,829,63,108,17,92
03-16-2015,35,841,64,110,18,93
03-17-2015,35,853,64,110,18,93
03-18-2015,35,863,66,111,18,94
03-19-2015,36,877,67,112,18,94
03-20-2015,36,891,68,112,18,95
03-21-2015,36,901,70,112,18,96
03-22-2015,36,914,72,114,18,97
03-23-2015,36,922,73,114,18,98
03-24-2015,38,935,73,114,20,98
03-25-2015,39,946,73,116,22,99
03-26-2015,39,957,73,117,22,99
03-27-2015,39,968,74,118,25,101
03-28-2015,40,979,76,121,25,102
03-29-2015,41,994,77,121,25,102
03-30-2015,41,1003,78,123,25,102
03-31-2015,41,1014,79,124,25,102
04-01-2015,41,1025,80,125,26,103
